,Title,Genre,Ratings,Votes,Duration
0,Advanced title search,Action,6.5, (242K),2h 28m
1,1. Gladiator II,Action,6.4, (12K),1h 42m
2,2. Fight or Flight,Action,5.5, (60K),2h 7m
3,3. Kraven the Hunter,Action,6.5, (173K),2h 2m
4,4. Twisters,Action,7.5, (500K),2h 8m
5,5. Deadpool & Wolverine,Action,8.5, (633K),2h 46m
6,6. Dune: Part Two,Action,6.8, (137K),2h 2m
7,7. The Ministry of Ungentlemanly Warfare,Action,6.3, (5.9K),1h 47m
8,8. Freaky Tales,Action,6.0, (123K),1h 50m
9,9. Venom: The Last Dance,Action,6.3, (159K),1h 45m
10,10. The Beekeeper,Action,6.9, (62K),1h 50m
11,11. Sonic the Hedgehog 3,Action,7.0, (240K),1h 49m
12,12. Civil War,Action,7.5, (288K),2h 28m
13,13. Furiosa: A Mad Max Saga,Action,7.6, (36K),2h 58m
14,14. The Count of Monte-Cristo,Action,6.8, (224K),2h 6m
15,15. The Fall Guy,Action,6.5, (169K),1h 59m
16,16. Carry-On,Action,6.2, (169K),2h 1m
17,17. Road House,Action,4.0, (102K),1h 56m
18,18. Madame Web,Action,7.6, (52K),1h 44m
19,19. Transformers One,Action,4.7, (49K),1h 41m
20,20. Borderlands,Action,5.3, (3.9K),1h 52m
21,21. Homestead,Action,5.6, (23K),1h 31m
22,22. Elevation,Action,6.8, (90K),2h 11m
23,23. Rebel Ridge,Action,4.7, (36K),1h 51m
24,24. The Crow,Action,6.0, (123K),1h 55m
25,25. Godzilla x Kong: The New Empire,Action,6.6, (58K),1h 44m
26,26. Love Lies Bleeding,Action,5.4, (12K),1h 26m
27,27. Azrael,Action,5.5, (24K),1h 32m
28,28. Arcadian,Action,6.1, (57K),3h 21m
29,29. Pushpa: The Rule - Part 2,Action,5.6, (93K),2h 19m
30,30. Argylle,Action,6.5, (101K),1h 33m
31,31. The Unholy Trinity,Action,6.9, (153K),1h 55m
32,32. Bad Boys: Ride or Die,Action,6.3, (32K),2h 25m
33,33. Kingdom of the Planet of the Apes,Action,5.4, (24K),2h 14m
34,34. The Lord of the Rings: The War of the Rohirrim,Action,6.3, (69K),1h 24m
35,35. Drive-Away Dolls,Action,6.3, (141K),1h 34m
36,36. Kung Fu Panda 4,Action,6.2, (52K),2h 3m
37,37. Red One,Action,5.8, (18K),2h 46m
38,38. Fighter,Action,6.1, (110K),1h 44m
39,39. The Killer's Game,Action,6.2, (38K),1h 50m
40,40. Damsel,Action,6.8, (93K),1h 41m
41,41. The Instigators,Action,4.4, (3.6K),2h 1m
42,42. Monkey Man,Action,8.4, (69K),1h 44m
43,43. Dirty Angels,Action,7.0, (23K),2h 21m
44,44. Maharaja,Action,5.4, (54K),1h 38m
45,45. Thelma,Action,6.1, (8K),1h 47m
46,46. The Union,Action,6.6, (52K),1h 39m
47,47. The Silent Hour,Action,4.4, (7.3K),1h 53m
48,48. Land of Bad,Action,4.5, (14K),1h 33m
49,49. Werewolves,Action,6.2, (17K),1h 39m
50,50. Hellboy: The Crooked Man,Action,8.8, (13K),2h
51,51. Blitz,Action,9.2, (17K),2h 1m
52,52. Solo Leveling: ReAwakening,Action,5.7, (2.8K),2h 25m
53,53. Attack on Titan the Movie: The Last Attack,Action,4.7, (33K),2h 13m
54,54. William Tell,Action,6.4, (82K),1h 40m
55,55. Uglies,Action,5.7, (13K),1h 58m
56,56. Beverly Hills Cop: Axel F,Action,4.7, (1.4K),2h 6m
57,57. The Killer,Action,6.1, (20K),1h 38m
58,58. The Fix,Action,5.5, (50K),1h 57m
59,59. Apocalypse Z: The Beginning of the End,Action,7.0, (67K),1h 47m
60,60. Lift,Action,4.5, (2.8K),3h
61,61. Kalki 2898 AD,Action,5.2, (8.5K),1h 30m
62,62. Survive,Action,5.7, (5.1K),1h 52m
63,63. Absolution,Action,5.3, (60K),1h 40m
64,64. Weekend in Taipei,Action,5.6, (56K),2h 2m
65,65. Rebel Moon - Part Two: The Scargiver,Action,5.2, (2.7K),1h 58m
66,66. Atlas,Action,5.8, (31K),1h 34m
67,67. Old Guy,Action,5.4, (164),1h 46m
68,68. Jackpot!,Action,5.2, (37K),1h 32m
69,69. They Call Her Death,Action,4.7, (7.2K),1h 44m
70,70. Under Paris,Action,6.5, (9.4K),1h 31m
71,71. Descendants: The Rise of Red,Action,7.0, (195),2h 24m
72,72. The Shadow Strays,Action,7.0, (10K),1h 53m
73,73. 40 Acres,Action,7.1, (6.8K),2h 6m
74,74. Twilight of the Warriors: Walled In,Action,3.6, (4.3K),1h 23m
75,75. Watchmen: Chapter I,Action,5.4, (13K),1h 29m
76,76. Armor,Action,5.4, (12K),1h 29m
77,77. Brothers,Action,4.6, (11K),1h 41m
78,78. Canary Black,Action,3.7, (2.7K),1h 30m
79,79. No Way Up,Action,6.6, (2.3K),1h 45m
80,80. Classified,Action,5.1, (4.2K),1h 57m
81,81. The Prosecutor,Action,4.6, (20K),1h 37m
82,82. Aftermath,Action,5.1, (2.6K),1h 46m
83,83. Trigger Warning,Action,5.2, (17K),1h 30m
84,84. Take Cover,Action,6.8, (22K),2h 39m
85,85. Baby John,Action,8.1, (19K),2h 25m
86,86. Marco,Action,5.6, (614),2h 47m
87,87. Amaran,Action,6.2, (548),1h 51m
88,88. Striking Rescue,Action,6.6, (5.7K),2h 35m
89,89. 11 Rebels,Action,6.2, (857),2h 6m
90,90. Uprising,Action,4.7, (4.7K),1h 48m
91,91. Harbin,Action,5.1, (1.2K),1h 37m
92,92. Chief of Station,Action,7.0, (3.3K),1h 41m
93,93. Long Gone Heroes,Action,2.5, (5.6K),1h 30m
94,94. Watchmen: Chapter II,Action,7.5, (112),1h 23m
95,95. Megamind vs. The Doom Syndicate,Action,4.8, (3K),1h 52m
96,96. Relay,Action,7.0, (9.5K),1h 32m
97,97. Cash Out,Action,6.0, (24K),2h 46m
98,98. Saripodhaa Sanivaaram,Action,4.7, (7.4K),2h 22m
99,99. Sikandar Ka Muqaddar,Action,7.8, (25K),1h 37m
100,100. Damaged,Action,7.0, (2.5K),2h 38m
101,101. Article 370,Action,3.2, (2.8K),1h 50m
102,102. My Hero Academia: You're Next,Action,4.1, (5.1K),1h 46m
103,103. Gunner,Action,4.6, (1.5K),1h 36m
104,104. Boneyard,Action,5.5, (6K),1h 54m
105,105. Duchess,Action,4.5, (1.9K),1h 51m
106,106. Red Right Hand,Action,6.8, (2.2K),1h 35m
107,107. Hounds of War,Action,7.8, (28K),1h 37m
108,108. Night Call,Action,6.2, (8.6K),2h 35m
109,109. Aavesham,Action,5.5, (19K),1h 33m
110,110. Justice League: Crisis on Infinite Earths - Part One,Action,7.2, (8.7K),1h 40m
111,111. Role Play,Action,6.3, (1.9K),1h 44m
112,112. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Action,5.7, (11K),1h 58m
113,"113. I, the Executioner",Action,4.5, (565),1h 52m
114,114. My Spy: The Eternal City,Action,5.9, (12K),1h 34m
115,115. Drive Back,Action,8.2, (2.8K),1h 47m
116,116. Badland Hunters,Action,6.1, (4.7K),1h 23m
117,117. Dan Da Dan: First Encounter,Action,7.8, (34K),1h 34m
118,118. Justice League: Crisis on Infinite Earths - Part Three,Action,4.1, (318),2h 22m
119,119. Chandu Champion,Action,4.7, (75K),1h 27m
120,120. 72 Hours,Action,6.6, (272),2h 24m
121,121. Singham Again,Action,6.9, (8.5K),1h 28m
122,122. Terminator: Skynet Rising,Action,5.1, (1K),1h 48m
123,123. Officer Black Belt,Action,6.9, (6.5K),1h 26m
124,124. Hitpig,Action,6.0, (24K),1h 57m
125,125. Ultraman: Rising,Action,6.3, (1.3K),2h 33m
126,126. Jigra,Action,3.6, (262),2h 4m
127,127. Cloud,Action,7.4, (8.4K),1h 34m
128,128. Mafia Wars,Action,5.0, (196),2h 25m
129,129. Toofan,Action,5.1, (1.4K),1h 22m
130,130. Seeds,Action,5.7, (16K),1h 39m
131,131. Panda Plan,Action,4.5, (15K),1h 40m
132,132. Code 8: Part II,Action,6.0, (21K),2h 32m
133,133. Kanguva,Action,6.0, (4.5K),2h 56m
134,134. Devara Part 1,Action,5.6, (263),1h 41m
135,135. The Courier,Action,5.7, (23K),1h 21m
136,136. Don't Mess with Grandma,Action,7.0, (40K),3h 3m
137,137. The Greatest of All Time,Action,7.6, (27),2h 43m
138,138. Vettaiyan,Action,5.9, (57),1h 49m
139,139. London Calling,Action,5.1, (1.9K),1h 26m
140,140. Joe Baby,Action,6.9, (3.2K),1h 26m
141,141. River of Blood,Action,8.0, (1.6K),2h 23m
142,142. Pani,Action,6.9, (1.3K),2h 35m
143,143. Bohurupi,Action,6.4, (2.1K),2h 15m
144,144. Overlord: The Sacred Kingdom,Action,7.0, (4.5K),1h 34m
145,145. Escape,Action,5.0, (2.2K),1h 53m
146,146. Rifle Club,Action,6.0, (1.3K),1h 48m
147,147. One Fast Move,Action,4.7, (3.2K),2h 19m
148,148. Hagen,Action,4.7, (530),1h 49m
149,149. Darkness of Man,Action,7.4, (940),1h 20m
150,150. Baby Invasion,Action,5.0, (1.9K),2h 28m
151,151. Son's Will,Action,5.3, (1.4K),1h 10m
152,152. The Thundermans Return,Action,5.7, (8.9K),2h 13m
153,153. Operation Valentine,Action,4.7, (968),2h 10m
154,154. Yodha,Action,7.8, (1.4K),2h 9m
155,155. A Legend,Action,4.4, (2.9K),2h 47m
