,Title,Genre,Ratings,Votes,Duration
0,Advanced title search,Comedy,7.6, (2.8K),1h 40m
1,1. Friendship,Comedy,7.5, (195K),2h 19m
2,2. Anora,Comedy,6.6, (151K),1h 45m
3,3. Beetlejuice Beetlejuice,Comedy,6.4, (12K),1h 42m
4,4. Fight or Flight,Comedy,7.5, (500K),2h 8m
5,5. Deadpool & Wolverine,Comedy,6.7, (24K),1h 46m
6,6. Paddington in Peru,Comedy,7.1, (100K),1h 30m
7,7. A Real Pain,Comedy,6.8, (137K),2h 2m
8,8. The Ministry of Ungentlemanly Warfare,Comedy,6.3, (5.9K),1h 47m
9,9. Freaky Tales,Comedy,6.6, (106K),1h 40m
10,10. Moana 2,Comedy,6.9, (62K),1h 50m
11,11. Sonic the Hedgehog 3,Comedy,5.4, (464),1h 37m
12,12. The Uninvited,Comedy,6.4, (2.4K),1h 59m
13,13. The Friend,Comedy,6.8, (224K),2h 6m
14,14. The Fall Guy,Comedy,7.5, (1.4K),1h 36m
15,15. A Nice Indian Boy,Comedy,7.0, (157K),2h 11m
16,16. Challengers,Comedy,6.9, (32K),1h 49m
17,17. Saturday Night,Comedy,6.3, (74K),1h 55m
18,18. The Idea of You,Comedy,7.5, (219K),1h 36m
19,19. Inside Out 2,Comedy,4.8, (15K),1h 31m
20,20. Y2K,Comedy,4.7, (49K),1h 41m
21,21. Borderlands,Comedy,6.5, (60K),2h 44m
22,22. Kinds of Kindness,Comedy,7.7, (4.9K),2h 7m
23,23. Superboys of Malegaon,Comedy,6.2, (67K),1h 34m
24,24. Despicable Me 4,Comedy,6.9, (30K),1h 52m
25,25. A Different Man,Comedy,5.7, (3.5K),1h 43m
26,26. Riff Raff,Comedy,6.9, (40K),1h 29m
27,27. My Old Ass,Comedy,5.2, (24K),1h 33m
28,28. Miller's Girl,Comedy,5.6, (93K),2h 19m
29,29. Argylle,Comedy,6.5, (101K),1h 55m
30,30. Bad Boys: Ride or Die,Comedy,6.4, (59K),1h 44m
31,31. IF,Comedy,5.4, (24K),1h 24m
32,32. Drive-Away Dolls,Comedy,6.3, (69K),1h 34m
33,33. Kung Fu Panda 4,Comedy,6.6, (43K),1h 43m
34,34. It's What's Inside,Comedy,6.5, (463),1h 47m
35,35. Sister Midnight,Comedy,6.6, (51K),2h 12m
36,36. Fly Me to the Moon,Comedy,6.3, (141K),2h 3m
37,37. Red One,Comedy,7.5, (1.8K),1h 41m
38,38. Bob Trevino Likes It,Comedy,7.0, (13K),1h 52m
39,39. Snack Shack,Comedy,6.1, (94K),1h 55m
40,40. Ghostbusters: Frozen Empire,Comedy,5.5, (20K),1h 39m
41,41. Nightbitch,Comedy,5.8, (18K),1h 44m
42,42. The Killer's Game,Comedy,6.2, (38K),1h 41m
43,43. The Instigators,Comedy,5.5, (37K),1h 52m
44,44. Mean Girls,Comedy,7.6, (19K),1h 45m
45,45. Kneecap,Comedy,6.3, (300),1h 38m
46,46. Jane Austen Wrecked My Life,Comedy,7.0, (4.9K),1h 31m
47,47. The Day the Earth Blew Up: A Looney Tunes Movie,Comedy,5.3, (7.2K),1h 26m
48,48. Get Away,Comedy,7.0, (23K),1h 38m
49,49. Thelma,Comedy,5.9, (1.4K),1h 29m
50,50. Sacramento,Comedy,8.0, (16K),2h 5m
51,51. How to Make Millions Before Grandma Dies,Comedy,5.4, (54K),1h 47m
52,52. The Union,Comedy,5.0, (4.9K),1h 44m
53,53. Rumours,Comedy,6.2, (12K),1h 52m
54,54. Greedy People,Comedy,6.2, (57K),1h 53m
55,55. Ricky Stanicky,Comedy,7.3, (196),1h 49m
56,56. My Future You,Comedy,5.4, (416),1h 30m
57,57. Adult Best Friends,Comedy,7.1, (7.3K),1h 28m
58,58. The Wonderful Story of Henry Sugar and Three More,Comedy,5.8, (14K),1h 31m
59,59. Incoming,Comedy,5.4, (37K),1h 51m
60,60. A Family Affair,Comedy,7.2, (5.9K),1h 37m
61,61. Hard Truths,Comedy,6.8, (295),1h 35m
62,62. Tim Travers & the Time Travelers Paradox,Comedy,6.4, (82K),1h 58m
63,63. Beverly Hills Cop: Axel F,Comedy,6.1, (30K),1h 44m
64,64. Upgraded,Comedy,7.1, (2.1K),1h 32m
65,65. Holy Cow,Comedy,6.2, (1.3K),1h 42m
66,66. Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write About a Serial Killer,Comedy,5.5, (50K),1h 47m
67,67. Lift,Comedy,5.7, (24K),1h 41m
68,68. The Garfield Movie,Comedy,7.4, (3.4K),1h 43m
69,69. The Marching Band,Comedy,5.7, (8.6K),1h 30m
70,70. Harold and the Purple Crayon,Comedy,5.5, (35K),1h 37m
71,71. Unfrosted,Comedy,7.3, (13K),1h 33m
72,72. Dìdi,Comedy,7.5, (35K),1h 22m
73,73. Wallace & Gromit: Vengeance Most Fowl,Comedy,5.2, (2.7K),1h 34m
74,74. Old Guy,Comedy,5.8, (31K),1h 46m
75,75. Jackpot!,Comedy,6.6, (2.5K),1h 43m
76,76. My Dead Friend Zoe,Comedy,5.7, (4.6K),1h 36m
77,77. Skincare,Comedy,7.0, (91),1h 36m
78,78. I Don't Understand You,Comedy,5.7, (925),1h 20m
79,79. Spermageddon,Comedy,6.1, (28K),1h 41m
80,80. Lisa Frankenstein,Comedy,5.5, (7.7K),1h 49m
81,81. Spellbound,Comedy,5.3, (2.7K),1h 37m
82,82. F*** Marry Kill,Comedy,5.7, (3.4K),1h 27m
83,83. Distant,Comedy,6.5, (1.2K),1h 49m
84,84. How to Make a Killing,Comedy,4.8, (17K),1h 28m
85,85. Mother of the Bride,Comedy,5.4, (13K),1h 29m
86,86. Brothers,Comedy,7.6, (6.2K),1h 55m
87,87. Ghostlight,Comedy,5.8, (1.2K),1h 34m
88,88. Boot Camp,Comedy,7.5, (208),1h 24m
89,89. Bad Shabbos,Comedy,6.5, (1.4K),1h 58m
90,90. Lake George,Comedy,6.3, (5.6K),1h 50m
91,91. Goodrich,Comedy,6.4, (6K),1h 43m
92,92. Your Monster,Comedy,6.6, (535),1h 46m
93,93. Crayon Shin-chan: Ora's Dinosaur Diary,Comedy,6.0, (2K),1h 43m
94,94. Bookworm,Comedy,6.9, (888),1h 39m
95,95. Eephus,Comedy,6.8, (2.3K),1h 44m
96,96. Misericordia,Comedy,6.8, (2.1K),1h 44m
97,97. When Fall Is Coming,Comedy,5.2, (804),1h 46m
98,98. Desert Fiends,Comedy,6.9, (5.7K),1h 33m
99,99. Piece by Piece,Comedy,6.3, (17K),1h 33m
100,100. Orion and the Dark,Comedy,6.9, (43K),2h 27m
101,101. Stree 2: Sarkate Ka Aatank,Comedy,5.6, (4K),1h 38m
102,102. Sweethearts,Comedy,6.0, (818),1h 31m
103,103. Night of the Zoopocalypse,Comedy,6.3, (13K),1h 33m
104,104. Find Me Falling,Comedy,5.9, (1.2K),1h 44m
105,105. The Balconettes,Comedy,7.0, (1K),1h 30m
106,106. Mukadderat,Comedy,5.4, (1.8K),1h 31m
107,107. Drugstore June,Comedy,2.5, (5.6K),1h 23m
108,108. Megamind vs. The Doom Syndicate,Comedy,5.7, (24K),1h 41m
109,109. Our Little Secret,Comedy,2.4, (3.5K),1h 20m
110,110. The Mouse Trap,Comedy,5.4, (19K),1h 47m
111,111. Dear Santa,Comedy,6.2, (54K),2h 21m
112,112. Teri Baaton Mein Aisa Uljha Jiya,Comedy,4.2, (265),1h 41m
113,113. The Visitor,Comedy,7.0, (2.3K),1h 51m
114,114. Dead Talents Society,Comedy,7.8, (11K),2h 22m
115,115. Sookshma Darshini,Comedy,5.1, (2.2K),1h 36m
116,116. Takintilar,Comedy,5.7, (3K),1h 33m
117,117. Thelma the Unicorn,Comedy,6.3, (26K),2h 3m
118,118. Munjya,Comedy,3.8, (12K),1h 44m
119,119. The American Society of Magical Negroes,Comedy,5.2, (22K),1h 33m
120,120. Irish Wish,Comedy,6.0, (3.9K),1h 27m
121,121. The 4:30 Movie,Comedy,7.1, (3.6K),1h 41m
122,122. You Are the Apple of My Eye,Comedy,4.6, (930),1h 34m
123,123. Arthur's Whisky,Comedy,7.0, (1.7K),1h 29m
124,124. Universal Language,Comedy,5.4, (5.4K),1h 45m
125,125. Through My Window: Looking at You,Comedy,7.8, (28K),2h 35m
126,126. Aavesham,Comedy,5.5, (19K),1h 40m
127,127. Role Play,Comedy,3.8, (1.2K),1h 39m
128,128. Don't Tell Mom the Babysitter's Dead,Comedy,6.5, (263),1h 40m
129,129. Sew Torn,Comedy,6.3, (1.9K),1h 58m
130,"130. I, the Executioner",Comedy,6.5, (27K),2h 15m
131,131. Khel Khel Mein,Comedy,5.4, (5.5K),1h 28m
132,132. Sasquatch Sunset,Comedy,5.7, (11K),1h 52m
133,133. My Spy: The Eternal City,Comedy,6.5, (2.6K),1h 43m
134,134. Winner,Comedy,4.8, (10K),1h 27m
135,135. The Merry Gentlemen,Comedy,6.8, (6.2K),1h 39m
136,136. The Best Christmas Pageant Ever,Comedy,8.2, (2.8K),1h 23m
137,137. Dan Da Dan: First Encounter,Comedy,6.6, (1.5K),1h 55m
138,138. Doraemon the Movie: Nobita's Earth Symphony,Comedy,5.5, (9.3K),1h 34m
139,139. Family Pack,Comedy,5.3, (15K),1h 32m
140,140. Hot Frosty,Comedy,6.2, (3K),1h 51m
141,141. Between the Temples,Comedy,6.6, (72),1h 40m
142,142. Shell,Comedy,5.7, (12K),1h 45m
143,143. Players,Comedy,7.4, (7.5K),1h 37m
144,144. My Favourite Cake,Comedy,5.0, (950),1h 23m
145,145. Bloody Axe Wound,Comedy,6.9, (8.5K),1h 48m
146,146. Officer Black Belt,Comedy,7.4, (1.6K),1h 58m
147,147. Love in the Big City,Comedy,5.1, (1K),1h 26m
148,148. Hitpig,Comedy,4.1, (7.2K),1h 5m
149,149. This Is Me... Now,Comedy,6.9, (6.5K),1h 57m
150,150. Ultraman: Rising,Comedy,6.8, (17K),1h 31m
151,151. That Christmas,Comedy,5.3, (739),2h 35m
152,152. Manamey,Comedy,5.5, (9.4K),1h 44m
153,153. Nutcrackers,Comedy,5.0, (2.8K),1h 55m
154,154. The Radleys,Comedy,6.8, (1.4K),2h 15m
155,155. Diamanti,Comedy,7.8, (20K),2h 36m
156,156. Premalu,Comedy,4.5, (1.6K),1h 35m
157,157. Summer Camp,Comedy,5.0, (196),1h 22m
