,Title,Genre,Ratings,Votes,Duration
0,Advanced title search,Crime,6.8, (47K),1h 56m
1,1. The Order,Crime,5.8, (142K),1h 45m
2,2. Trap,Crime,6.6, (190K),1h 41m
3,3. Longlegs,Crime,6.3, (5.9K),1h 47m
4,4. Freaky Tales,Crime,6.3, (159K),1h 45m
5,5. The Beekeeper,Crime,7.0, (101K),1h 54m
6,6. Juror #2,Crime,6.5, (169K),1h 59m
7,7. Carry-On,Crime,6.5, (85K),1h 48m
8,8. Wolfs,Crime,6.2, (72K),1h 43m
9,9. MaXXXine,Crime,6.8, (90K),2h 11m
10,10. Rebel Ridge,Crime,4.7, (36K),1h 51m
11,11. The Crow,Crime,8.0, (33K),2h 28m
12,12. Lucky Baskhar,Crime,6.2, (67K),1h 34m
13,13. Despicable Me 4,Crime,5.7, (3.5K),1h 43m
14,14. Riff Raff,Crime,6.6, (58K),1h 44m
15,15. Love Lies Bleeding,Crime,5.4, (90K),2h 12m
16,16. Emilia Pérez,Crime,6.1, (57K),3h 21m
17,17. Pushpa: The Rule - Part 2,Crime,6.5, (101K),1h 33m
18,18. The Unholy Trinity,Crime,6.2, (38K),1h 55m
19,19. Bad Boys: Ride or Die,Crime,6.8, (93K),1h 41m
20,20. The Instigators,Crime,7.6, (14K),2h 1m
21,21. Monkey Man,Crime,7.5, (14K),2h 47m
22,22. The Seed of the Sacred Fig,Crime,8.4, (69K),2h 3m
23,23. The Girl with the Needle,Crime,6.1, (8K),2h 21m
24,24. Maharaja,Crime,6.0, (1.7K),1h 39m
25,25. The Silent Hour,Crime,5.8, (3.3K),1h 46m
26,26. Dead Mail,Crime,6.2, (12K),1h 48m
27,27. The Thicket,Crime,6.4, (82K),1h 52m
28,28. Greedy People,Crime,6.2, (22K),1h 58m
29,29. Beverly Hills Cop: Axel F,Crime,5.5, (50K),1h 50m
30,30. Sleeping Dogs,Crime,7.0, (5.5K),1h 47m
31,31. Lift,Crime,5.2, (8.5K),2h 46m
32,32. Beating Hearts,Crime,7.1, (2.2K),1h 52m
33,33. Absolution,Crime,6.5, (1.2K),2h 8m
34,34. Santosh,Crime,6.5, (9.4K),1h 49m
35,35. How to Make a Killing,Crime,7.0, (10K),2h 24m
36,36. The Shadow Strays,Crime,3.6, (4.3K),2h 6m
37,37. Twilight of the Warriors: Walled In,Crime,5.4, (13K),1h 29m
38,38. Armor,Crime,5.6, (14K),1h 29m
39,39. Brothers,Crime,6.4, (69K),1h 35m
40,40. Killer Heat,Crime,6.5, (1.4K),2h 6m
41,41. Do Patti,Crime,4.6, (20K),1h 58m
42,42. Lake George,Crime,5.2, (17K),1h 46m
43,43. Trigger Warning,Crime,6.8, (22K),2h 39m
44,44. Baby John,Crime,6.8, (2.3K),2h 25m
45,45. Marco,Crime,5.8, (7.3K),1h 44m
46,46. Misericordia,Crime,4.9, (1.7K),2h
47,47. Force of Nature: The Dry 2,Crime,6.2, (857),1h 37m
48,48. Detained,Crime,4.6, (2.2K),1h 48m
49,49. Harbin,Crime,5.1, (1.2K),1h 48m
50,50. Blackwater Lane,Crime,5.4, (1.8K),1h 41m
51,51. Long Gone Heroes,Crime,2.5, (5.6K),1h 31m
52,52. Drugstore June,Crime,7.0, (9.5K),1h 23m
53,53. Megamind vs. The Doom Syndicate,Crime,6.0, (24K),2h 46m
54,54. Saripodhaa Sanivaaram,Crime,4.7, (7.4K),2h 22m
55,55. Sikandar Ka Muqaddar,Crime,4.2, (7.1K),1h 37m
56,56. Damaged,Crime,5.8, (280),2h
57,57. My Fault,Crime,7.1, (25K),1h 54m
58,58. The Shameless,Crime,8.6, (43),2h 3m
59,59. Sector 36,Crime,4.1, (5.1K),1h 56m
60,60. Barron's Cove,Crime,4.6, (1.5K),1h 36m
61,61. Boneyard,Crime,7.1, (259),1h 54m
62,62. Duchess,Crime,6.3, (1.9K),1h 44m
63,63. Inside,Crime,4.3, (1.1K),1h 58m
64,"64. I, the Executioner",Crime,6.9, (953),1h 57m
65,65. Depravity,Crime,5.9, (12K),1h 52m
66,66. The Kingdom,Crime,5.5, (4.3K),1h 47m
67,67. Badland Hunters,Crime,4.7, (75K),1h 37m
68,68. The Calendar Killer,Crime,6.2, (3.1K),2h 24m
69,69. Singham Again,Crime,5.2, (5.4K),1h 36m
70,70. In Her Place,Crime,6.9, (8.5K),1h 28m
71,71. Dead Sea,Crime,5.1, (1K),1h 48m
72,72. Officer Black Belt,Crime,6.4, (8.6K),1h 26m
73,73. Hitpig,Crime,6.0, (24K),1h 51m
74,74. Colors of Evil: Red,Crime,5.9, (2.8K),2h 33m
75,75. Jigra,Crime,4.9, (459),1h 48m
76,76. The Soul Eater,Crime,6.0, (24K),1h 58m
77,77. Here Now,Crime,7.4, (8.4K),2h 30m
78,78. Ulajh,Crime,5.0, (196),2h 25m
79,79. Toofan,Crime,5.7, (16K),1h 22m
80,80. Seeds,Crime,6.0, (4.5K),1h 40m
81,81. Code 8: Part II,Crime,6.5, (15K),1h 41m
82,82. The Courier,Crime,7.0, (40K),2h 11m
83,83. Maharaj,Crime,7.4, (10K),2h 43m
84,84. Vettaiyan,Crime,6.9, (3.2K),2h 22m
85,85. Anweshippin Kandethum,Crime,4.8, (2.8K),2h 23m
86,86. Pani,Crime,4.7, (3.2K),1h 45m
87,87. Cult Killer,Crime,5.6, (2K),1h 49m
88,88. Darkness of Man,Crime,6.3, (3.7K),2h 1m
89,89. Boundless,Crime,5.0, (1.9K),1h 39m
90,90. Marmalade,Crime,6.1, (11K),1h 10m
91,91. The Thundermans Return,Crime,6.3, (4K),1h 27m
92,92. What Jennifer Did,Crime,6.4, (3.3K),1h 53m
93,93. Justice,Crime,7.2, (4.8K),2h 18m
94,94. Bougainvillea,Crime,7.1, (76),2h 11m
95,95. Thalavan,Crime,6.6, (5.5K),2h 10m
96,96. King Ivory,Crime,5.2, (1.7K),1h 49m
97,97. The Roundup: Punishment,Crime,6.4, (1.7K),1h 51m
98,98. 5lbs of Pressure,Crime,5.7, (224),1h 36m
99,99. Kill the Jockey,Crime,7.2, (5.8K),2h 11m
100,100. Gatao: Like Father Like Son,Crime,4.1, (4.8K),2h
101,101. Golam,Crime,6.3, (767),1h 45m
102,102. Bloodline Killer,Crime,6.4, (25K),1h 50m
103,103. The Quiet Ones,Crime,7.8, (16K),2h 7m
104,104. The Sabarmati Report,Crime,9.1, (11),2h 50m
105,105. Viduthalai Part 2,Crime,6.9, (743),1h 23m
106,106. Reputation,Crime,7.0, (13K),2h 35m
107,107. Maldoror,Crime,7.6, (45),1h 30m
108,108. Lover Stalker Killer,Crime,5.4, (2K),N/A
109,109. Fluxx,Crime,8.1, (51),1h 48m
110,110. Bogota: City of the Lost,Crime,6.3, (5.7K),1h 34m
111,111. Guns & Moses,Crime,6.5, (156),1h 42m
112,112. City Hunter,Crime,2.8, (863),1h 35m
113,113. Taxali Gate,Crime,4.1, (1.2K),1h 34m
114,114. Strictly Confidential,Crime,6.7, (7.4K),1h 35m
115,115. The Clean Up Crew,Crime,7.2, (7.2K),2h 38m
116,116. Bagheera,Crime,4.3, (128),2h 14m
117,117. Bhakshak,Crime,6.1, (1.5K),47m
118,118. Dirty Ice Cream,Crime,6.2, (7K),1h 2m
119,119. Broken Rage,Crime,6.4, (3.3K),1h 38m
120,120. Trouble,Crime,4.3, (402),1h 28m
121,121. Jailbreak: Love on the Run,Crime,6.5, (41K),1h 46m
122,122. Strangers,Crime,6.8, (3.4K),2h 30m
123,123. Auron Mein Kahan Dum Tha,Crime,5.8, (296),1h 40m
124,124. Hijack 1971,Crime,6.1, (35K),1h 52m
125,125. Serpent's Path,Crime,6.6, (3.4K),2h 6m
126,126. Savi,Crime,7.3, (540),2h 17m
127,127. Tillu Square,Crime,6.5, (11K),1h 45m
128,128. To a Land Unknown,Crime,6.7, (152),2h 25m
129,129. Raayan,Crime,5.5, (1.4K),1h 40m
130,130. Little Jaffna,Crime,5.8, (84),1h 38m
131,131. Laws of Man,Crime,6.8, (635),1h 40m
132,132. Belle,Crime,6.1, (792),2h
133,133. Shoutai,Crime,3.9, (1.4K),1h 56m
134,134. Two to One,Crime,4.1, (156),1h 43m
135,135. Crescent City,Crime,5.9, (406),1h 53m
136,136. The Notorious Finster,Crime,7.0, (58),1h 54m
137,137. Ride,Crime,5.4, (904),1h 35m
138,138. The Trainer,Crime,4.5, (2.1K),1h 54m
139,139. Revolver,Crime,5.0, (1.3K),1h 29m
140,140. First Shift,Crime,6.1, (1.5K),1h 40m
141,141. GTMax,Crime,5.7, (1.2K),1h 25m
142,142. Biggest Heist Ever,Crime,5.8, (704),2h 10m
143,143. Visfot,Crime,6.1, (50),2h 23m
144,144. Case of Kondana,Crime,5.9, (1.4K),1h 12m
145,145. Kingsmen,Crime,5.3, (108),1h 50m
146,146. Freedom,Crime,4.6, (650),1h 37m
147,147. Midnight Taxi,Crime,4.8, (2.6K),1h 39m
148,148. Untamed Royals,Crime,6.8, (178),1h 25m
149,149. Wanted Man,Crime,6.8, (3K),1h 47m
150,150. Risky Business,Crime,5.8, (6.9K),2h 5m
151,151. Nunakuzhi,Crime,3.8, (276),2h 12m
152,152. Phir Aayi Hasseen Dillruba,Crime,5.9, (1.5K),1h 44m
153,153. Dead Wrong,Crime,7.5, (224),1h 44m
154,154. Jönssonligan kommer tillbaka,Crime,7.3, (327),1h 36m
