,Title,Genre,Ratings,Votes,Duration
0,Advanced title search,Horror,7.2, (309K),2h 21m
1,1. The Substance,Horror,7.2, (203K),2h 12m
2,2. Nosferatu,Horror,6.6, (151K),1h 45m
3,3. Beetlejuice Beetlejuice,Horror,6.8, (105K),1h 50m
4,4. Speak No Evil,Horror,7.0, (148K),1h 51m
5,5. Heretic,Horror,7.1, (249K),1h 59m
6,6. Alien: Romulus,Horror,5.8, (142K),1h 45m
7,7. Trap,Horror,6.6, (190K),1h 41m
8,8. Longlegs,Horror,6.7, (110K),2h 7m
9,9. Smile 2,Horror,5.7, (4.9K),1h 29m
10,10. The Damned,Horror,6.5, (98K),1h 49m
11,11. Abigail,Horror,6.1, (24K),1h 24m
12,12. Presence,Horror,6.2, (72K),1h 43m
13,13. MaXXXine,Horror,6.3, (50K),2h 5m
14,14. Terrifier 3,Horror,4.1, (477),1h 42m
15,15. Kryptic,Horror,6.7, (45K),1h 38m
16,16. Oddity,Horror,5.7, (28K),1h 42m
17,17. Cuckoo,Horror,4.8, (15K),1h 31m
18,18. Y2K,Horror,6.5, (60K),2h 44m
19,19. Kinds of Kindness,Horror,4.7, (36K),1h 51m
20,20. The Crow,Horror,5.6, (34K),1h 54m
21,21. Salem's Lot,Horror,5.4, (12K),1h 26m
22,22. Azrael,Horror,5.5, (24K),1h 32m
23,23. Arcadian,Horror,6.3, (152K),1h 39m
24,24. A Quiet Place: Day One,Horror,6.2, (5.2K),1h 44m
25,25. The Rule of Jenny Pen,Horror,6.0, (2.4K),2h
26,26. The Shrouds,Horror,5.6, (383),1h 43m
27,27. The Haunted Apartment: Miss K,Horror,5.5, (20K),1h 39m
28,28. Nightbitch,Horror,5.7, (58K),1h 42m
29,29. The Watchers,Horror,5.8, (54K),1h 29m
30,30. Immaculate,Horror,6.5, (200),1h 45m
31,31. The Ruse,Horror,4.7, (5.9K),1h 33m
32,32. Bagman,Horror,5.4, (16K),1h 41m
33,33. Never Let Go,Horror,5.8, (40K),1h 32m
34,34. Don't Move,Horror,5.3, (7.2K),1h 26m
35,35. Get Away,Horror,4.9, (898),1h 33m
36,36. Conjuring the Cult,Horror,5.6, (27K),1h 34m
37,37. In a Violent Nature,Horror,5.0, (4.9K),1h 44m
38,38. Rumours,Horror,4.4, (7.3K),1h 33m
39,39. Werewolves,Horror,6.0, (1.7K),1h 46m
40,40. Dead Mail,Horror,6.4, (8.3K),1h 29m
41,41. MadS,Horror,4.7, (2.3K),1h 36m
42,42. The Last Breath,Horror,4.5, (14K),1h 39m
43,43. Hellboy: The Crooked Man,Horror,5.2, (14K),1h 24m
44,44. Afraid,Horror,6.5, (65K),1h 59m
45,45. The First Omen,Horror,5.0, (19K),1h 31m
46,46. Time Cut,Horror,5.7, (3.6K),1h 30m
47,47. Die Alone,Horror,5.9, (17K),1h 47m
48,48. Apartment 7A,Horror,6.0, (9.4K),2h 3m
49,49. Stream,Horror,6.9, (24K),2h 14m
50,50. Exhuma,Horror,5.1, (23K),1h 52m
51,51. The Deliverance,Horror,6.2, (1.1K),1h 43m
52,52. Frewaka,Horror,6.1, (20K),1h 57m
53,53. Apocalypse Z: The Beginning of the End,Horror,4.8, (32K),1h 32m
54,54. Tarot,Horror,4.3, (5K),1h 37m
55,55. The Beast Within,Horror,5.4, (164),1h 32m
56,56. They Call Her Death,Horror,4.7, (28K),1h 38m
57,57. Night Swim,Horror,7.0, (91),1h 36m
58,58. I Don't Understand You,Horror,4.6, (23K),1h 31m
59,59. The Strangers: Chapter 1,Horror,5.2, (37K),1h 44m
60,60. Under Paris,Horror,6.1, (28K),1h 41m
61,61. Lisa Frankenstein,Horror,6.5, (63),1h 20m
62,62. The Severed Sun,Horror,4.8, (943),1h 25m
63,63. The Painted,Horror,5.5, (286),1h 26m
64,64. The Moogai,Horror,4.6, (1.3K),1h 43m
65,65. Succubus,Horror,6.2, (6.6K),1h 30m
66,66. Lowlifes,Horror,5.7, (17K),1h 31m
67,67. Sting,Horror,7.6, (97),1h 55m
68,68. Witchboard,Horror,4.7, (12K),1h 33m
69,69. Winnie-the-Pooh: Blood and Honey 2,Horror,4.9, (41K),1h 39m
70,70. The Platform 2,Horror,6.3, (193),1h 43m
71,71. A Desert,Horror,6.4, (6K),1h 43m
72,72. Your Monster,Horror,7.1, (115),1h 34m
73,73. We Bury the Dead,Horror,4.6, (5.5K),1h 34m
74,74. The Front Room,Horror,5.6, (5.3K),1h 32m
75,75. Daddy's Head,Horror,6.6, (6.5K),2h 1m
76,76. The Devil's Bath,Horror,5.2, (804),1h 46m
77,77. Desert Fiends,Horror,6.9, (43K),2h 27m
78,78. Stree 2: Sarkate Ka Aatank,Horror,4.7, (3K),1h 25m
79,79. The Inheritance,Horror,5.6, (2.5K),1h 36m
80,80. Grafted,Horror,4.6, (2.2K),1h 48m
81,81. Blackwater Lane,Horror,4.2, (12K),1h 35m
82,82. The Exorcism,Horror,4.3, (318),1h 32m
83,83. The Bunker,Horror,5.5, (7.4K),1h 33m
84,84. Humane,Horror,4.7, (17K),1h 44m
85,85. Imaginary,Horror,5.8, (9.6K),1h 54m
86,86. V/H/S/Beyond,Horror,5.8, (1.1K),1h 52m
87,87. Sumala,Horror,5.3, (8.8K),1h 34m
88,88. Hold Your Breath,Horror,6.0, (818),1h 31m
89,89. Night of the Zoopocalypse,Horror,6.2, (1.3K),1h 47m
90,90. The Corpse Washer,Horror,5.9, (1.2K),1h 44m
