,Title,Genre,Ratings,Votes,Duration
0,Advanced title search,Romance,5.9, (60K),1h 54m
1,1. Babygirl,Romance,7.5, (195K),2h 19m
2,2. Anora,Romance,7.5, (163K),2h 40m
3,3. Wicked,Romance,7.0, (54K),1h 48m
4,4. We Live in Time,Romance,6.3, (87K),2h 10m
5,5. It Ends with Us,Romance,7.6, (36K),2h 58m
6,6. The Count of Monte-Cristo,Romance,6.0, (2.5K),1h 37m
7,7. Winter Spring Summer or Fall,Romance,6.8, (224K),2h 6m
8,8. The Fall Guy,Romance,7.5, (1.4K),1h 36m
9,9. A Nice Indian Boy,Romance,7.0, (157K),2h 11m
10,10. Challengers,Romance,6.3, (74K),1h 55m
11,11. The Idea of You,Romance,3.8, (1K),1h 54m
12,12. Ask Me What You Want,Romance,6.4, (23K),2h 17m
13,13. Queer,Romance,4.7, (36K),1h 51m
14,14. The Crow,Romance,6.6, (58K),1h 44m
15,15. Love Lies Bleeding,Romance,6.9, (40K),1h 29m
16,16. My Old Ass,Romance,6.6, (51K),2h 12m
17,17. Fly Me to the Moon,Romance,6.3, (1.2K),1h 59m
18,18. On Swift Horses,Romance,6.3, (300),1h 38m
19,19. Jane Austen Wrecked My Life,Romance,6.8, (369),1h 28m
20,20. Romance on the Ranch,Romance,4.1, (1.8K),1h 47m
21,21. Emmanuelle,Romance,7.1, (10K),1h 58m
22,22. All We Imagine as Light,Romance,6.6, (7.2K),1h 51m
23,23. Turtles All the Way Down,Romance,7.3, (196),1h 49m
24,24. My Future You,Romance,5.2, (14K),1h 58m
25,25. Culpa Tuya,Romance,5.7, (3.6K),1h 30m
26,26. Die Alone,Romance,5.9, (3.9K),1h 39m
27,27. Sidelined: The QB and Me,Romance,7.1, (3.3K),2h 19m
28,28. La cocina,Romance,5.4, (37K),1h 51m
29,29. A Family Affair,Romance,6.1, (263),1h 50m
30,30. Bonjour Tristesse,Romance,6.1, (30K),1h 44m
31,31. Upgraded,Romance,7.0, (5.5K),2h 46m
32,32. Beating Hearts,Romance,7.1, (502),1h 39m
33,33. Lilies Not for Me,Romance,6.3, (3.2K),1h 40m
34,34. Girl Haunts Boy,Romance,6.2, (863),1h 15m
35,35. Lick,Romance,7.2, (4.8K),2h 36m
